keyword	url	source
Anomalous Dispersion	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Anomalous Expansion	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Anomalous Zeeman Effect	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Anomaly	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
anomaly	https://www.britannica.com/science/anomaly-astronomy	Britannica
Ansae	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Ansari, Anousheh	https://www.britannica.com/money/Anousheh-Ansari	Britannica
Antalgol Star	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Antapex	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Antarctic Circle	https://astro4edu.org/resources/glossary/term/489/	Astro4Edu
Antarctic meteorite	https://www.britannica.com/science/Antarctic-meteorite	Britannica
Antares	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Antares	https://www.britannica.com/place/Antares-star	Britannica
Antenna	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Antenna Gain	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Antenna Temperature	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Antennae	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Anthropic Principle	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
anthropic principle	https://www.britannica.com/science/anthropic-principle	Britannica
Anthropocentrism	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Anthropomorphism	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Anti-Baryon	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Anti-Coincidence Counter	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Anti-Ferromagnet	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Anti-Ferromagnetism	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Anti-Matter	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Anti-Neutrino	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Anti-Neutron	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Anti-Particle	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Anti-Proton	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Anti-Quark	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Anti-Reflection Coating	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Anticenter	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Antikythera mechanism	https://www.britannica.com/topic/Antikythera-mechanism	Britannica
Antimatter	https://astro4edu.org/resources/glossary/term/12/	Astro4Edu
antimatter	https://hyperphysics.phy-astr.gsu.edu/hbase/particles/antimatter.html	HyperPhysics
Antlia	https://www.britannica.com/topic/Antlia	Britannica
AO Cassiopeiae	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_C.html	NED
Aouelloul Crater	https://www.britannica.com/place/Aouelloul-Crater	Britannica
Ap Stars	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Apastron	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Aperture	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Aperture Efficiency	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Aperture Function	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Aperture Photometry	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Aperture Ratio	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Aperture Synthesis	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Apex	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Aphelion	https://astro4edu.org/resources/glossary/term/13/	Astro4Edu
Aphelion	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
aphelion	https://www.britannica.com/science/aphelion	Britannica
Aphrodite Terra	https://www.britannica.com/place/Aphrodite-Terra	Britannica
Aplanatic Lens	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Aplanatic System	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Apoapsis	https://astro4edu.org/resources/glossary/term/520/	Astro4Edu
Apoastron	https://astro4edu.org/resources/glossary/term/521/	Astro4Edu
Apocenter	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Apochromatic Lens	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Apodization	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Apogalacticon	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Apogee	https://astro4edu.org/resources/glossary/term/519/	Astro4Edu
Apogee	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Apollo	https://astro4edu.org/resources/glossary/term/14/	Astro4Edu
Apollo	https://www.britannica.com/science/Apollo-space-program	Britannica
Apollo 11	https://www.britannica.com/topic/Apollo-11	Britannica
Apollo 13	https://www.britannica.com/topic/Apollo-13-mission	Britannica
Apollo 17	https://www.britannica.com/event/Apollo-17	Britannica
Apollo Asteroid	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Apollo Space Program	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Apollonius of Perga	https://www.britannica.com/biography/Apollonius-of-Perga	Britannica
Apophis	https://www.britannica.com/topic/Apophis	Britannica
Apparent Depth	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Apparent Magnitude	https://astro4edu.org/resources/glossary/term/15/	Astro4Edu
Apparent Magnitude	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Apparent Place	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Apparent Solar Day	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Apparent Solar Time	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Apparition	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Appleton Layer	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Appulse	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Apsidal Motion	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Apsides, Line of	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Apus	https://www.britannica.com/topic/Apus-astronomy	Britannica
Aquarius	https://astro4edu.org/resources/glossary/term/428/	Astro4Edu
Aquarius	https://www.britannica.com/place/Aquarius-astronomy	Britannica
Aquarius/SAC-D	https://www.britannica.com/event/Aquarius-SAC-D	Britannica
Aquila	https://www.britannica.com/place/Aquila-constellation	Britannica
Ara	https://www.britannica.com/place/Ara-constellation	Britannica
Arc Spectra	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
